Rank,Stocks (5218),Sub-Sector,?Market Cap,Alpha,Beta,5Y CAGR,Debt to Equity,EPS (Q),PE Ratio,PB Ratio,,,,,,,,,
1,RELIANCE,Oil & Gas - Refining & Marketing,"16,61,978.38",-3.41,1,12.73,0.5,13.7,23.87,1.8,,,,,,,,,
2,TCS,IT Services & Consulting,"13,69,807.93",-3.56,0.62,11.91,0.09,34.21,29.84,15,,,,,,,,,
3,HDFCBANK,Private Banks,"12,94,876.75",-5.08,1.1,6.82,0,23.11,20.21,2.76,,,,,,,,,
4,BHARTIARTL,Telecom Services,"9,80,604.56",21.97,0.65,25.07,2.04,25.54,131.33,9.29,,,,,,,,,
5,ICICIBANK,Private Banks,"8,70,827.45",7.18,1.27,17.65,0,18.26,19.68,3.22,,,,,,,,,
6,INFY,IT Services & Consulting,"7,51,872.22",-5.02,0.82,17.89,0.09,16.43,28.66,8.5,,,,,,,,,
7,SBIN,Public Banks,"6,44,357.57",3.53,1.3,17.12,0,21.12,9.61,1.5,,,,,,,,,
8,HINDUNILVR,FMCG - Household Products,"5,26,696.13",-4.06,0.32,-0.06,0.03,12.7,51.25,10.24,,,,,,,,,
9,BAJFINANCE,Consumer Finance,"5,19,990.67",-3.94,1.88,11.46,3.82,68.63,35.98,6.78,,,,,,,,,
10,ITC,FMCG - Tobacco,"5,01,625.30",18.4,0.62,15.36,0,3.74,24.52,6.7,,,,,,,,,
11,LICI,Insurance,"4,93,919.07",-7.69,-,-,0,17.4,12.07,5.96,,,,,,,,,
12,HCLTECH,IT Services & Consulting,"4,60,935.50",7.99,0.9,22.84,0.08,16.94,29.36,6.75,,,,,,,,,
13,LT,Construction & Engineering,"4,55,884.27",11.45,1.1,20.95,1.13,24.43,34.91,4.45,,,,,,,,,
14,SUNPHARMA,Pharmaceuticals,"3,94,390.69",18.17,0.75,32.34,0.05,12.1,41.18,5.88,,,,,,,,,
15,KOTAKBANK,Private Banks,"3,88,303.48",-5.24,0.94,2.98,0,23.64,21.32,2.99,,,,,,,,,
16,MARUTI,Four Wheelers,"3,87,452.44",6.61,0.88,12.77,0,118.54,28.73,4.52,,,,,,,,,
17,ULTRACEMCO,Cement,"3,21,504.85",6.88,0.92,20.3,0.19,50.99,45.9,5.33,,,,,,,,,
18,WIPRO,IT Services & Consulting,"3,20,430.15",-5.15,0.59,20.05,0.22,3.21,29.01,4.29,,,,,,,,,
19,M&M,Four Wheelers,"3,20,102.93",30.1,1.26,38.44,1.34,28.51,28.41,4.02,,,,,,,,,
20,NTPC,Power Generation,"3,16,353.73",23.83,0.88,23.99,1.44,5.22,15.2,1.92,,,,,,,,,
21,AXISBANK,Private Banks,"3,12,401.13",-0.18,1.51,6.27,0,21.79,11.84,1.98,,,,,,,,,
22,ONGC,Oil & Gas - Exploration & Production,"3,01,800.90",10.69,0.98,18.47,0.42,6.85,6.13,0.83,,,,,,,,,
23,BAJAJFINSV,Insurance,"2,99,722.47",-4.29,1.93,14.12,2.78,14,36.79,2.89,,,,,,,,,
24,TITAN,"Precious Metals, Jewellery & Watches","2,82,071.52",-1.06,1.1,19.17,1.65,11.8,80.68,30.03,,,,,,,,,
25,TATAMOTORS,Four Wheelers,"2,47,817.66",3.37,1.65,33.54,1.15,14.81,7.89,2.66,,,,,,,,,
26,ADANIENT,Commodities Trading,"2,46,198.29",10.92,1.42,52.5,1.48,0.04,76,5.57,,,,,,,,,
27,POWERGRID,Power Transmission & Distribution,"2,43,582.81",14.89,0.66,19.73,1.42,4.15,15.64,2.8,,,,,,,,,
28,JSWSTEEL,Iron & Steel,"2,39,578.03",8.51,1.25,28.36,1.1,2.94,27.19,3,,,,,,,,,
29,BAJAJ-AUTO,Two Wheelers,"2,37,537.92",24.01,1.09,22.64,0.07,78.7,30.82,8.2,,,,,,,,,
30,DMART,Retail - Department Stores,"2,34,049.16",-12.71,0.77,7.87,0.03,11.12,92.28,12.52,,,,,,,,,
